回帖用户名,用户主页地址,回帖时间,回帖内容
王局志安,https://x.com/wangzhian8848,2026-01-10T07:33:53.000Z,王志安听说你在2020年被中共国安高价收买了，请就这个传闻说两句
上官亂,https://x.com/shangguanluan,2026-01-10T08:33:22.000Z,七常委微信群，你值得拥有
lll,https://x.com/niuziiii1,2026-01-10T10:45:41.000Z,以前觉得王局，挺有意思，现在觉得王志安好虚伪，哈哈哈哈哈
tianxinsuiyue,https://x.com/tianxinsuiyue,2026-01-10T08:06:39.000Z,王菊一紧张就胡搅蛮缠耍无赖啊
Hannah2066,https://x.com/wan210366,2026-01-10T08:42:03.000Z,说实话这种级别，鸟都不鸟你
二階堂きりあき(求求了円高い）,https://x.com/rukuriri_mk4,2026-01-10T07:56:39.000Z,我是中南海的孙笑川，我可以证明
biobot,https://x.com/Jioicebot,2026-01-10T07:57:56.000Z,中南海聽床師=死太監
语言即世界 人权高于主权|支言支语｜支人思维 ｜支那ぶた,https://x.com/allmoneycome6,2026-01-10T11:12:00.000Z,王志安是习大大钦点下一代领导人
Helen MAGA,https://x.com/helen_maga99,2026-01-10T10:10:58.000Z,假如你们不信、可以看看这里有25篇文章加视频，彻底了解下王志安中共党员。
nihao,https://x.com/nihao0965432376,2026-01-10T07:56:27.000Z,每年都有上亿的收入，不怕特朗普派专机把你在日本逮捕了？这样美国的国库几个亿的资金到账了。
北藜,https://x.com/Lena_G_C,2026-01-10T12:49:32.000Z,危急时刻，还可以派张狗剩钻地道送鸡毛信！
人只影单行匆匆,https://x.com/xdev_Lin,2026-01-10T08:18:53.000Z,王局是中南海派出来肃清法轮功媒体的，真高明。
张又侠,https://x.com/maomin1145,2026-01-10T10:49:47.000Z,我可以证明
Wei Ren ,https://x.com/WR1111F,2026-01-10T08:00:14.000Z,就是，吃饺子推实际就是新年向中南海王表哥汇报工作“新生代反贼苗子，都被俺包了饺子喽。” 会员都知道汇报语汇。
Xiaoniao2x,https://x.com/Lvxiaoniao2x,2026-01-10T11:02:14.000Z,中南海范围太大 就直接说与沪宁单线联系。
Yihe Tales 一禾初识,https://x.com/YiheTales,2026-01-10T07:59:30.000Z,哈哈，可以可以
YUAN,https://x.com/yuan1147901,2026-01-10T09:03:44.000Z,与石平相比、王局志安桑暂时还有救
 加利佛尼亚不养闲人,https://x.com/wxwxwx87654321,2026-01-10T10:28:10.000Z,你太高看菊花王了。当年郭文贵那种才是能和高层说上话的，当年马健那等级的还跑美国和老郭谈判。王治安在国内只是一个记者，在央视也只是二队的，一队都是崔永元柴静等。像王菊石头记啊邓海燕都是有那么一国安的工作人员接洽，可能有时候可以和国安基层一些小头目聊聊了解一些内幕。仅此而已。散了吧都
Uncle Chris,https://x.com/realpzc,2026-01-10T09:35:53.000Z,牛逼
阿木,https://x.com/Louis24795925,2026-01-10T08:14:35.000Z,破罐子破摔啊
cat,https://x.com/bambooshoot_07,2026-01-10T08:32:52.000Z,新的一年打孕妇的习惯改了没。
殖畜love绿,https://x.com/zhngbxng1,2026-01-10T15:02:18.000Z,哈哈哈
德玛西亚的普通居民塞拉斯,https://x.com/king1092skr691,2026-01-10T11:34:55.000Z,是的 群是我建的 一共九个人
microB,https://x.com/soh5160,2026-01-10T10:20:32.000Z,你这种日
@NickZeng,https://x.com/NickZeng12,2026-01-10T11:26:48.000Z,这个，信。
WATCH TODAY,https://x.com/watchtoday777,2026-01-10T10:04:16.000Z,菊哥现在是中校了吧，把菊哥当线人是对菊哥莫大的侮辱。
宵 單戈,https://x.com/SmartianSOS,2026-01-10T09:19:15.000Z,你們以為王局的局是什麼局？那可是中央政治局！
ミクちゃん,https://x.com/BaiChen69112,2026-01-10T15:28:03.000Z,什麼直接和中南海發微信，明明是習近平的親衛，直接和習近平發微信
Zachary,https://x.com/XKpwXpp4rIkV9c7,2026-01-10T08:34:40.000Z,我还是挺尊重王局的。虽然立场不同，但起码不编故事
奥特曼很阮,https://x.com/midian9527,2026-01-10T14:03:14.000Z,王老师是外宣头牌，一直吃着党的饭
国际评论员王志安（金牛座）,https://x.com/wngfngli239542,2026-01-10T10:10:28.000Z,隐藏正国级干部，王志安
龙椅下魂   ,https://x.com/2017_00_08_40a,2026-01-10T09:46:53.000Z,80%概率已经向中信办看齐，伊朗最热门不报道。。。
shawn chang,https://x.com/shawnch36759580,2026-01-10T07:55:09.000Z,连吴小晖的马仔都不认识你，凭什么国安会瞧得上你？
不知名抗日人士#米国の犬-ジャップ,https://x.com/1777seventeen,2026-01-10T15:15:12.000Z,你不是反贼吗
小龙游天下,https://x.com/fushuaixiaolong,2026-01-10T08:30:58.000Z,代号【风筝】是吧
Kuya空也,https://x.com/souslov2005,2026-01-10T11:05:19.000Z,王菊加个微，给我也拉到你们的小群里去
贾维言,https://x.com/JiaweiYan50499,2026-01-10T09:50:55.000Z,一天天在推特上当串子吹牛逼
hodi wang,https://x.com/WangHodi,2026-01-10T07:59:03.000Z,原来你就是平平发展的线人
灰太狼的爹,https://x.com/pky19991010,2026-01-10T09:17:58.000Z,那你能让习主席给我个官当当嘛
夏婊河子,https://x.com/F6chy9K,2026-01-10T10:05:30.000Z,这点本宫可以证明！菊安说的没错，他早上还问我这个月的绩效工资到账了吗。
轩,https://x.com/MingXuan_888,2026-01-10T11:05:28.000Z,采访石平
域外巡视使,https://x.com/fei3736,2026-01-10T08:12:14.000Z,菊，没看我天天叼您吗？不要脸是您的专属？
kong hu,https://x.com/hukong1s4fj,2026-01-10T13:23:01.000Z,我这边还在等客服转人工，您已经直通中南海了，差距肉眼可见。下次求带飞一次
SHD小芳,https://x.com/SHDxiaofang,2026-01-10T08:39:59.000Z,开玩笑，网络皇帝你们今天才知道吗
月亮湾（戒者）,https://x.com/adongakak,2026-01-10T11:17:33.000Z,如果毛太祖的儿子没被美军炸死，习近平都不知道是哪个地方的芝麻小干部
托蘭魁首,https://x.com/Prime_Soilder,2026-01-10T10:06:49.000Z,王局有时候还挺幽默
共产亡于共管,https://x.com/xiaobin_li57244,2026-01-10T11:44:13.000Z,厉害了王自氨！
yunhao zheng,https://x.com/yunhaozhen58219,2026-01-10T13:26:07.000Z,周五狗剩都没了
李承铉,https://x.com/lchngxun1349086,2026-01-10T14:43:46.000Z,就你这种坏逼，一万块钱就收买了
佚名,https://x.com/dzbkTdqnDxjzVMh,2026-01-10T08:51:58.000Z,说实话，从微博就开始关注王局你，我一直不相信你会是小骂大帮忙，但是现在我却愈发的怀疑自己了
打酱油,https://x.com/guanzhu12345,2026-01-10T08:34:17.000Z,王菊 国安找你正对口 进关扣押 中南海认识你是哪儿葱？自不量力的下场是无家可归。
盛则圣君名相，衰则匹夫有责,https://x.com/HD1039,2026-01-10T08:03:45.000Z,王局这么骂200斤，王局的在大陆的银行卡都没有被冻结，你们说王局牛皮不牛皮吧！
Agu888,https://x.com/KaiLeeynu,2026-01-10T10:30:18.000Z,宁愿相信老母猪会上树，也不能相信王局被招安
curry30,https://x.com/currybeatjames,2026-01-10T09:36:13.000Z,吹牛逼，中南海加密通信用微信不用钉钉？
jackson,https://x.com/shineli1185012,2026-01-10T12:59:45.000Z,傲慢，无礼，即使出来说相声也自认为高高在上
Alan,https://x.com/AllenCh08857351,2026-01-10T09:03:08.000Z,这么久都不发点关于清华园中学和伊朗的评论，是打算今年回去过年？
