回帖用户名,用户主页地址,回帖时间,回帖内容
勃勃OC,https://x.com/bboczeng,2026-01-10T11:00:26.000Z,中国当然会得到。美国对日本放松了控制。结果你，王路飞，老王这批人不就占领了日本的舆论高地？
Tony Lee,https://x.com/TonyLee876995,2026-01-10T10:45:48.000Z,到目前为止，美国主动拿到的土地上，没有人民说坏的吧
Fan 埃隆·马斯克中文转推,https://x.com/musk_old_fan,2026-01-10T07:49:01.000Z,"王局最后说的这句，美国卖给中国，卖啥？
格陵兰还没有属于美国呢。"
大橘orange,https://x.com/cFDNtzK1QkqhBXb,2026-01-10T08:23:32.000Z,谁能科普下，特朗普要这个大冰箱干啥用。不能是为了开发资源吧
链条,https://x.com/dameiliuhe111,2026-01-10T07:52:08.000Z,"要来干嘛？
太远了。不接壤。开发成本太高。短期内毫无意义。
川普搞来也没有意义。
开发资源？
得了吧，美国的那个技术。做不到的。
现在开发委内瑞拉的油都做不到。
防止中俄，军事？
他现在就可以驻军。

我真搞不懂，他要来干嘛。

为了赢?"
Xiaoniao2x,https://x.com/Lvxiaoniao2x,2026-01-10T12:24:16.000Z,格岛离加拿大16公里 离丹麦3500公里 所以我百分百确定格岛属于加拿大。格岛原住民与加拿大原著民就是一家人。
Adam,https://x.com/yuhailei2,2026-01-10T07:55:59.000Z,美国拿下格陵兰，可以有效抑制中俄势力扩张，自由世界前途无限好，支持美国得到格陵兰
RJ,https://x.com/RJDAIGOGO,2026-01-10T08:01:06.000Z,川普为了说服中国打台湾，换着法儿的身体力行。
粮满仓,https://x.com/Mortonliang,2026-01-10T13:21:59.000Z,"王菊是文科生失败的典型案例，对世界格局的分析都不如理科生。
格陵兰就一个作用，北极航道的咽喉，直卡中欧货运航线上
分析个屁，too young too simple，sometime naive"
Helen MAGA,https://x.com/helen_maga99,2026-01-10T09:26:55.000Z,因为你又坏又蠢。这是美国的后院，轮得到你主子吗？ 美国从来没有强抢过任何一寸他国土地。当年获赔的银子也一分未取，反而帮你主子国建立了最早的大学。你这个奴才不也享受到了吗？
沐长风,https://x.com/muchangfeng2016,2026-01-10T07:55:41.000Z,川普的无厘头就在于他讲话只关注他的目的和利益，合不合逻辑，他人观感如何，完全不在他的考虑范围内，但是就凭着这，他一生都占尽好处。这操蛋的世界啊，真就是个草台班子
X89,https://x.com/X891218570,2026-01-10T07:57:43.000Z,"按王局逻辑，美国能抓马杜罗，中国就能抓赖清德，所以：
今天能打大老婆，明天就能打小老婆
今天能要台湾，明天就能要格陵兰
证毕！"
yasukioo,https://x.com/feixiangskybigs,2026-01-10T07:54:52.000Z,阿拉斯加售价不得超过380万美元
物流人,https://x.com/ChrisMu35642495,2026-01-10T11:28:09.000Z,不认同这个观点，有点胡扯了，关注下北极航线看看战略价值对谁有利
Terry,https://x.com/_dieduck_,2026-01-10T07:51:17.000Z,"典型的“先假设威胁，再合理化扩张”。
如果中国和俄罗斯都没提要求，那这个前提本身就是空的。

把“我想要”包装成“别人会抢”，是老套路了。"
语言即世界 人权高于主权|支言支语｜支人思维 ｜支那ぶた,https://x.com/allmoneycome6,2026-01-10T11:14:19.000Z,王菊花，你是不是真的被收买了？还阿拉斯加自贸区，咋不说你的老家东北吉林自贸区呢？别犯支，文明点
Zhou,https://x.com/aniraincoat,2026-01-10T07:55:19.000Z,习总：王局，此计甚好，深得朕心，朕命你为阿拉斯加特别行政区管理局党委副书记，局长，党组成员。
一叶轻舟,https://x.com/8vLwq,2026-01-10T10:02:07.000Z,川普告诉老共，只要你拳头硬，干坏事的理由可以随便胡编的！
"Asir,",https://x.com/Asir_eth,2026-01-10T13:23:58.000Z,这种都有人信的那只能说还没开智的原始人，你跟原始人讲什么文明，他们只能被征服
