回帖用户名,用户主页地址,回帖时间,回帖内容
𝘊𝘰𝘳𝘳𝘪𝘯𝘦,https://x.com/OopsGuess,2026-01-10T11:04:29.000Z,智商真是硬伤
curry30,https://x.com/currybeatjames,2026-01-10T06:06:45.000Z,王局勉勉强强也算64幸存者，玩这种梗图
Compartk 𝕏/,https://x.com/Compart42,2026-01-10T06:39:02.000Z,她抛下刚失去父亲的孩子们，只为保护索马里诈骗犯，认为跑到另一个州与武装的联邦特工正面交锋是个好主意。 她是个精神错乱的左翼分子，一个试图碾压联邦探员的罪犯。 此被击毙嫌犯可以明显看到冲撞探员，同一探员于六个月前因追捕非法移民被车拖行百米，缝了33针。如果探员被车碾压，左派肯定会庆祝的
Explorer,https://x.com/Explorer2Mars,2026-01-10T06:32:35.000Z,王局，这事儿我觉得你是表达的是兴奋多于可惜。看，老美也和中国一样堕落！可悲可叹可惜
Fan 埃隆·马斯克中文转推,https://x.com/musk_old_fan,2026-01-10T06:00:44.000Z,"王局的活儿真好。
之前拦坦克的人没事。
拦ICE车的人死了。"
單純愛吃魚,https://x.com/ELLOIT123,2026-01-10T06:11:11.000Z,王桑不裝了 王桑是黨的肉喇叭
叶隐,https://x.com/sunpolis,2026-01-10T09:18:31.000Z,完全无法想象，徒手挡坦克的画面曾经是勇气的象征。如今却成为美国人羡慕解放军克制的榜样。
Panda1997,https://x.com/Panda1997277310,2026-01-10T07:51:52.000Z,拿个AI图做文章。到处断章取义。我发现你是真的阴损。一点儿没有新闻人的良知。
一个新人,https://x.com/god77774,2026-01-10T07:00:21.000Z,可耻的AI 作品！
tianxinsuiyue,https://x.com/tianxinsuiyue,2026-01-10T07:01:44.000Z,王菊花说自己经历过学潮，我是相信的。石平说自己经历了学潮，我也是相信的。石平经历了学潮看到自己的同学朋友身死彻底黑化背叛祖国，而菊花看到了这一幕菊花一紧，放弃了抵抗，从良了
法無不二,https://x.com/dmc7i,2026-01-10T06:05:12.000Z,王志安这次妥妥证明自己是党的人
rich,https://x.com/Richard99100,2026-01-10T13:23:48.000Z,不愧是王局，以前拿残疾人开玩笑，现在拿死人开玩笑。
xiaol,https://x.com/xiaol89031071,2026-01-10T14:54:55.000Z,王治安 你为了钱不要脸了是把？我现在确信你以前说参加过六四是骗人的了
阿木,https://x.com/Louis24795925,2026-01-10T06:00:43.000Z,王局过份了
ルルシ,https://x.com/tachibana32823,2026-01-10T15:14:24.000Z,我黨安插你很皮，但沒啥卵用
Will Karacas,https://x.com/Will_Karacas,2026-01-10T13:47:36.000Z,此事在1932年美国镇压华盛顿一战老兵也有记载
哏儿都欧洲办公室,https://x.com/gerdueurope,2026-01-10T13:08:16.000Z,菊花桑是真坏逼。鉴定完毕。
megaman,https://x.com/huaqloud,2026-01-10T06:07:43.000Z,螳臂当车的歹徒
g g,https://x.com/ggvigigii,2026-01-10T06:03:47.000Z,这个螳臂当车的歹徒无疑是在以卵击石！批准碾过
豊楽さん,https://x.com/WatanukiHouraku,2026-01-10T10:20:35.000Z,不想再支持64就是因為你們這群蠢貨
parker,https://x.com/parker__UU,2026-01-10T07:16:20.000Z,美国版的8964？
Kevin ,https://x.com/Kevin11164918,2026-01-10T13:29:19.000Z,如果她开着车撞警察，肯定击毙啊
zhao dongliang,https://x.com/ZHAOOK6,2026-01-10T07:56:57.000Z,坦克吗？
麦丢替,https://x.com/KevinSu10514909,2026-01-10T08:20:41.000Z,铁骑继续前进！
大橘orange,https://x.com/cFDNtzK1QkqhBXb,2026-01-10T06:14:30.000Z,啥玩意儿？？？？？？
油爆琵琶拌着面,https://x.com/zmx8067,2026-01-10T13:54:15.000Z,我必須要給大外宣點個贊
Panda1997,https://x.com/Panda1997277310,2026-01-10T07:48:28.000Z, check
陆城西,https://x.com/yangmei2024,2026-01-10T07:02:33.000Z,一黑黑两
S.Sterling,https://x.com/Cameron35985236,2026-01-10T07:42:20.000Z,减刑十年
Topsy Elio,https://x.com/topsyelio,2026-01-10T07:12:36.000Z,哈哈哈哈
原版发条熊,https://x.com/simon_wcw,2026-01-10T06:37:05.000Z,今天推上全是这张图
Cheems,https://x.com/cheems0x,2026-01-10T07:23:29.000Z,直接开炮
Kaminari,https://x.com/ohrayiyaoyao,2026-01-10T07:46:59.000Z,王局现在是变成外宣了
Ji Huang,https://x.com/JiHuang02026178,2026-01-10T06:04:25.000Z,"美国缺少中国的道德观，及千年文化的儒家的“敬”。
当然中国也会开枪，也会镇压，
但，都是先讲道理，敬三分。
美国纯属野蛮。
希望老头来中国访问的时候，拜拜孔夫子，"
kerislee,https://x.com/flunky1956,2026-01-10T11:34:27.000Z,别装了，王菊你一个大外宣能发啥自主言论，起码别人执法记录还公开，媒体能评论。朝廷则是沉默再删，你洗地不行，泼脏水也堪忧，大外宣没你真行。
荒野独行,https://x.com/hydx8848,2026-01-10T06:13:31.000Z,越来越爱王局，明明以前那么讨厌你，一直黑你你也不拉黑我，原来一个人的度量可以融化黑粉
TaiwanesePerspective,https://x.com/TaiwaneseROC,2026-01-10T09:46:43.000Z,"大外宣，騙到了一堆傻子⋯⋯
中國好中國強你還躲國外咧⋯⋯"
观察者,https://x.com/Jiang1889421,2026-01-10T09:44:17.000Z,傻逼
东叔-MCGA,https://x.com/strike_U_back,2026-01-10T10:29:34.000Z,这不是你的风格啊，6.4不是你的legacy吗
千山独行,https://x.com/1000winds1000,2026-01-10T07:21:30.000Z,古德女士被米国武警一枪不够三枪爆头，引得川粪纷纷动情欢叫，川粪美滋滋的说起米国执法当局（警察和武警）的强硬有力和说一不二，内裤全tmd湿了
安静的小年糕,https://x.com/CX_123123,2026-01-10T08:06:01.000Z,拿出89.64出来阁下应该如何应对？
sk,https://x.com/sk7720536024186,2026-01-10T06:32:57.000Z,你有啥资格骂轮子？
