回帖用户名,用户主页地址,回帖时间,回帖内容
悉尼奶爸 SydneyDaddy 雪梨奶爸 ,https://x.com/SydneyDaddy1,2026-01-10T06:44:38.000Z,更年期老登真傻逼
Science Focused,https://x.com/Tao_Tao123,2026-01-10T07:49:06.000Z,不一样，特朗普是民选的，美国人支持他的想法
tianxinsuiyue,https://x.com/tianxinsuiyue,2026-01-10T07:17:56.000Z,我希望川普在任期内把大部分独裁都搞掉，然后自己被搞的狼狈下台，这是最好的结果
houzeshuai,https://x.com/houzeshuai,2026-01-10T14:45:50.000Z,，搞笑王
Hedin lissa,https://x.com/HedinLissa,2026-01-10T09:50:03.000Z,奴才脸，狗嘴巴，吐出象牙。他新女朋友估计是看在他钱的份上，太恶心了
shipsgleeful clutchi,https://x.com/mouldychimp,2026-01-10T07:04:52.000Z,区别在于，老毛真的可以在中国无法无天，谁都管不了他。老川想的很美好，能不能梦想成真，这是个问题。当然，美国人选出这样一个总统，那是有福了，而且是在已经有第一任表现的情况下。还有三年，拭目以待吧。
法無不二,https://x.com/dmc7i,2026-01-10T06:03:23.000Z,这世界上有谁能和毛腊肉相提并论？特朗普能饿死三千万美国人吗？
空空道人,https://x.com/Kongkongda5882,2026-01-10T06:34:17.000Z,特朗普为啥这么喜欢普京？很大程度上也是因为普京武力吞并乌克兰领土的行为，让特朗普为他自己接下来想干的所有那些伤天害理的事情找到了绝佳的借口，正所谓“和尚摸得，我摸不得？”特靠谱说，格陵兰属于美国的，什么狗屁国际法，让废纸归废纸，拳头的归拳头。别说国际法啊，老子连国内法也不遵守。。
Adam,https://x.com/yuhailei2,2026-01-10T07:50:07.000Z,川普像老毛，但是民主美国不同共产中国。。所以个性品格接近的枭雄，在不同制度下，一个可能是魔鬼灾难，一个可能是侠客英雄
ethanray89,https://x.com/ethanray8964,2026-01-10T07:16:57.000Z,王志安：不像我，我都是遵守法律的，从不家暴。
实事求是的二条,https://x.com/2t2t2t2t2t2t2t,2026-01-10T06:53:38.000Z,出处呢？净几把扯你的野史
CNMB,https://x.com/bobchat0301,2026-01-10T12:35:18.000Z,馬杜羅這個獨裁者販毒匪幫被抓 顯然這貨憤怒已極 不需其主子授意便積極動起來 底褲不要了 裸飛
Helen MAGA,https://x.com/helen_maga99,2026-01-10T09:19:24.000Z,去尼玛的国际法！
失落灣,https://x.com/zhendexiangxiao,2026-01-10T12:26:00.000Z,国际秩序一直都是拳头大于义，只不过作为所谓文明灯塔的美国的总统特朗普把这些搬到台面上了，很多人信仰崩塌了。
Egg,https://x.com/Egg94501177,2026-01-10T09:04:01.000Z,别吹牛逼了，赶紧研究新蔡县的事吧
Ptz,https://x.com/PittZhao62654,2026-01-10T08:01:25.000Z,王婊子 舔菊花
nirarebull,https://x.com/nirarebull,2026-01-10T11:23:25.000Z,以前竞选时我质疑过川普，会不会连任后亲俄，但是他没有，所以我再次相信川普，他所做一切就是为了消灭独裁，对付独裁不能再用君子的办法，我相信川普4年后不会再连任，也不会走独裁之路。
Light ,https://x.com/LightVivien,2026-01-10T08:46:22.000Z,你不是有个美国问题顾问净多吗？不懂问问他吧。他多少对美国还有些了解，对美国的认知你完全是250。
Terry,https://x.com/_dieduck_,2026-01-10T05:53:54.000Z,"把“道德自律”放在法律之上，本质就是人治。
问题从来不是他有没有道德，而是谁来判定。
法律的意义，就是防止任何人把自己当例外。"
anquan anquan,https://x.com/anquanzhanghu,2026-01-10T11:13:11.000Z,王阳明
ngma nei,https://x.com/NeiNgma86400,2026-01-10T12:16:47.000Z,懂王给早苗打个电话立马将王菊送回强囯
阿木,https://x.com/Louis24795925,2026-01-10T05:53:49.000Z,拐弯抹角都骂了
奇鸣,https://x.com/Qimin74114237,2026-01-10T12:50:58.000Z,两者的区别是：川普想做而做不到；老毛想做就做到了。这也是民主国家和专制国家的根本区别。
拈花一笑,https://x.com/kellie_ros11419,2026-01-10T14:02:17.000Z,"国际法可以变为废纸，也可以变为盾牌。当独裁者强大的时候，它就是张废纸 任独裁者践踏。当独裁者变的弱小的时候，国际法就会变为保护独裁者的盾牌为独裁者撑起一片天空，让独裁者免受别国的刀剑。
正是看到过际法的两面性，我才在十年前提出了：人权高于主权，没有人权，就没有主权。"
TanglinView,https://x.com/wjs980706,2026-01-10T05:58:33.000Z,国际法和国内法还是有区别的
Kevin,https://x.com/kevin_wangwq,2026-01-10T07:34:00.000Z,他说的是国际法，他要是说不需要美国法律试试？
Zero,https://x.com/Zero42743091,2026-01-10T07:02:25.000Z,我C。。。跟老毛比？  誰TM能跟它比？
周博文,https://x.com/KrNAX6vmabkXs8h,2026-01-10T06:49:51.000Z,特汤普魂穿金三胖，跟金三胖是一个德行
念诗之王,https://x.com/KofReadPoetry,2026-01-10T09:16:35.000Z,说的太对了，我也一直以为王洪文已经死了，没想到，也诈尸到了日本。
404 error,https://x.com/doubllife,2026-01-10T06:43:17.000Z,他飘了，估计结局不会太好。
linkedon guo,https://x.com/GuoLinkedon,2026-01-10T15:18:32.000Z,说的好！赞，川这个老家伙竟然明目张胆的这样叫嚣，人人得而骂之。
,https://x.com/khoho999915,2026-01-10T07:44:07.000Z,王局今天吃的啥好吃的
